Subject,Modality,Condition,Trust,Exp,MW,SA
1,Control,Control,4.83,NA,4.6,4
2,Control,Control,4.64,NA,4,3
3,Control,Control,5.08,NA,3.8,4
4,Control,Control,4.19,NA,4.2,8
5,Control,Control,5.14,NA,6.8,6
6,Control,Control,5.81,NA,6.2,14
7,Control,Control,4.92,NA,5.6,12
8,Control,Control,5.44,NA,6.4,6
9,Control,Control,4.17,NA,4,8
10,Control,Control,5.28,NA,6.2,6
11,Control,Control,5.08,NA,5.2,2
12,Control,Control,6.64,NA,5.2,2
13,Control,Control,6.89,NA,3.4,11
14,Control,Control,5.56,NA,6.2,5
15,Control,Control,5.47,NA,6.4,6
16,Control,Control,5.03,NA,3.4,12
17,Control,Control,5.36,NA,5.2,7
18,Control,Control,4.94,NA,4.4,7
19,Control,Control,4.28,NA,4,7
20,Control,Control,4.19,NA,3.4,6
21,Control,Control,4.17,NA,4.6,8
22,Control,Control,4.53,NA,6,7
23,Control,Control,4.36,NA,5,3
24,Control,Control,5.22,NA,5,4
25,Control,Control,3.78,NA,4.8,9
26,Control,Control,5.39,NA,4,9
27,Control,Control,4.64,NA,4.2,8
28,Control,Control,4.19,NA,5.2,12
29,Control,Control,4.94,NA,5.8,4
30,Control,Control,6.25,NA,3.2,13
31,Control,Control,4.61,NA,5.2,8
32,Control,Control,3.5,NA,3.4,9
33,Control,Control,4.89,NA,5,3
34,Control,Control,5.08,NA,5.4,7
35,Control,Control,3.89,NA,4.4,9
36,Control,Control,4.56,NA,3.4,8
37,Control,Control,5.36,NA,5.6,9
38,Control,Control,4.61,NA,5.2,4
39,Control,Control,5.36,NA,5.4,5
40,Control,Control,4.92,NA,5.4,4
41,T+A,L1,5.47,6.67,2.67,16
42,T+A,L1,4.92,4.6,5.83,12
43,T+A,L1,4.39,5.03,4.83,15
44,T+A,L1,5.17,5.4,5.5,11
45,T+A,L1,4.47,5.07,5.33,16
46,T+A,L1,3.61,2.8,2.67,9
47,T+A,L1,4.89,4.83,4.67,15
48,T+A,L1,5.61,5.03,5.5,6
49,T+A,L1,5.19,5.8,6.83,14
50,T+A,L1,4.94,6,3.5,10
51,T+A,L1,5,5.13,6.5,3
52,T+A,L1,3.86,4.27,4.67,16
53,T+A,L1,4.75,5.47,5.17,13
54,T+A,L1,5.33,6,5.67,15
55,T+A,L1,5.92,5.47,5.67,14
56,T+A,L1,5.67,5.43,6,14
57,T+A,L1,5.28,5.33,5.17,14
58,T+A,L1,4.97,5.17,6.33,8
59,T+A,L1,5.33,5.07,6.33,7
60,T+A,L1,5.39,5.7,5.5,13
61,T+A,L1,4.69,3.93,4.67,13
62,T+A,L1,4.56,5.17,4.17,15
63,T+A,L1,4.81,6,4.17,15
64,T+A,L1,4.64,5.37,4.33,14
65,T+A,L1,5.64,5.47,6,15
66,T+A,L1,5.56,6.2,4,14
67,T+A,L1,4.25,4.37,5.17,17
68,T+A,L1,4.92,5.8,4.17,14
69,T+A,L1,4.58,6.23,5.33,14
70,T+A,L1,4.72,5.5,4.83,15
71,T+A,L1,3.81,3.57,5.17,16
72,T+A,L1,5.58,5.6,4.83,14
73,T+A,L1,5.06,4.8,5.33,14
74,T+A,L1,5.36,5.33,6.33,8
75,T+A,L1,4.28,6.1,4.67,16
76,T+A,L1,5.22,5.53,6.5,14
77,T+A,L1,4.83,4.73,3.83,14
78,T+A,L1,4.72,5.37,6.5,12
79,T+A,L1,4.39,4.87,5,14
80,T+A,L1,5.11,4.7,5.67,13
81,T+A,L1,5.28,4.93,6,12
82,T+A,L1,5.11,5.13,6,12
83,T+A,L1,3.86,3.73,4.67,10
84,T+A,L1,5.42,6.8,4,16
85,T+A,L1,5.86,6.4,3.17,11
86,T+A,L1,4.42,4.67,4.33,16
87,T+A,L1,5.31,4.77,6.33,9
88,T+A,L1,5.17,5.87,5.83,15
89,T+A,L1,5.92,5.27,6.5,15
90,T+A,L1,5.42,5.83,4.17,15
91,T+A,L2,5.44,5.03,5.67,16
92,T+A,L2,5.31,5.47,5.5,13
93,T+A,L2,4.75,5.27,3.17,16
94,T+A,L2,5.11,6.23,4.83,16
95,T+A,L2,4.5,5.4,5.33,15
96,T+A,L2,5.14,5.7,5,16
97,T+A,L2,4.72,4.23,5.5,11
98,T+A,L2,5.44,5.3,6.33,12
99,T+A,L2,5.64,5.47,6.5,9
100,T+A,L2,4,3.87,4.33,6
101,T+A,L2,5.11,4.87,5.5,14
102,T+A,L2,5.25,5.6,4.67,15
103,T+A,L2,4.47,4.67,5,18
104,T+A,L2,5.11,4.53,6.17,11
105,T+A,L2,5.17,4.53,5.17,10
106,T+A,L2,7,7,4,14
107,T+A,L2,5.06,4.57,5.33,13
108,T+A,L2,5.67,5.1,6.17,15
109,T+A,L2,4.94,5.8,6.33,18
110,T+A,L2,5.89,4.53,6.5,12
111,T+A,L2,5.5,5.7,6.33,14
112,T+A,L2,5.61,6.23,3.5,15
113,T+A,L2,4.39,4.33,4.67,2
114,T+A,L2,4.47,3.93,5.33,16
115,T+A,L2,6.58,6.2,5,16
116,T+A,L2,5.33,5,5.33,10
117,T+A,L2,5.72,6.8,2.5,16
118,T+A,L2,5.25,5.47,4.33,17
119,T+A,L2,5.22,4.8,5.5,14
120,T+A,L2,4.97,4.77,5.67,14
121,T+A,L2,5.31,3.97,5.83,12
122,T+A,L2,5.39,5.2,5.83,18
123,T+A,L2,4.72,4.57,6.67,14
124,T+A,L2,5.11,4.2,5.33,8
125,T+A,L2,5.67,5,7,13
126,T+A,L2,5.22,5.83,3.67,14
127,T+A,L2,5.14,5.63,4,15
128,T+A,L2,6.31,5.23,5.17,15
129,T+A,L2,3.5,4.73,5.33,7
130,T+A,L2,4.97,4.67,4.5,15
131,T+A,L2,5.56,5,5,13
132,T+A,L2,5.03,4.9,5,11
133,T+A,L2,4.78,4.2,5,11
134,T+A,L2,5.11,5.23,6.17,13
135,T+A,L2,4.78,4.9,4.67,11
136,T+A,L2,4.97,4.37,5.5,13
137,T+A,L2,5.03,4.13,5.17,16
138,T+A,L2,4.89,4.47,3.83,17
139,T+A,L2,5.83,5.43,6.67,14
140,T+A,L2,4.94,5.13,6.17,12
141,T+A,L3,5.06,4.83,6,9
142,T+A,L3,5.53,5.87,5,16
143,T+A,L3,5,5.73,5.5,16
144,T+A,L3,4.89,5.83,4.17,17
145,T+A,L3,5.94,6.83,6,16
146,T+A,L3,4.61,4.43,5,3
147,T+A,L3,3.86,4.03,4.83,5
148,T+A,L3,5.56,5.6,6.5,12
149,T+A,L3,5.53,4.97,6.5,11
150,T+A,L3,4.86,4.8,4.17,15
151,T+A,L3,4.67,4.47,5.67,14
152,T+A,L3,5.03,4.8,5.5,8
153,T+A,L3,5.17,5.1,5.83,15
154,T+A,L3,5.36,5.27,4.5,8
155,T+A,L3,4.83,4.73,4.83,16
156,T+A,L3,5.17,5.13,5.83,15
157,T+A,L3,5.5,6.07,5,17
158,T+A,L3,4.75,5.17,3.33,16
159,T+A,L3,4.33,4.4,4.5,10
160,T+A,L3,5.69,5.47,6,15
161,T+A,L3,5.44,6.33,4.67,15
162,T+A,L3,4.44,4.3,5.33,12
163,T+A,L3,5.22,4.67,5.5,14
164,T+A,L3,4.81,4.33,5.17,16
165,T+A,L3,5.28,5.1,5.67,7
166,T+A,L3,4.64,6.27,4.83,18
167,T+A,L3,5.25,5.2,5.5,16
168,T+A,L3,5.33,5.93,5.17,18
169,T+A,L3,4.19,5,4,18
170,T+A,L3,5.5,6.63,4.67,16
171,T+A,L3,5.42,4.97,6.17,13
172,T+A,L3,4.67,4.43,5.17,12
173,T+A,L3,4.39,5,4.5,18
174,T+A,L3,5.08,5.77,3.83,17
175,T+A,L3,4.92,4.67,5.17,14
176,T+A,L3,4.92,5.23,4.67,11
177,T+A,L3,5.94,6.5,6,16
178,T+A,L3,5.25,5.37,6.17,13
179,T+A,L3,4.89,5.57,6,17
180,T+A,L3,4.28,4.4,4.5,12
181,T+A,L3,4.94,4.87,5,11
182,T+A,L3,5.22,4.83,6,11
183,T+A,L3,5.14,6.17,3.67,16
184,T+A,L3,6.08,5.37,7,13
185,T+A,L3,5.42,5.5,6,14
186,T+A,L3,4.5,5.23,5.83,16
187,T+A,L3,5.33,5.37,5.5,13
188,T+A,L3,6.06,5.97,4.5,17
189,T+A,L3,5.92,6.8,2.5,17
190,T+A,L3,5.08,5.93,3.83,17
191,T,L1,4.83,5,5.2,11
192,T,L1,5.17,5.17,5.8,8
193,T,L1,4.97,4.9,5.2,6
194,T,L1,4.81,5.47,5.2,12
195,T,L1,4.89,4.93,5.4,15
196,T,L1,5.06,6.33,4.4,15
197,T,L1,5.64,6.3,5.2,14
198,T,L1,5.14,4.63,5,14
199,T,L1,5.64,5.33,6.4,9
200,T,L1,5.11,4.77,5.6,13
201,T,L1,5.22,4.83,5.4,18
202,T,L1,4.78,4.7,5.4,8
203,T,L1,4.83,5,5,18
204,T,L1,5.44,5.4,5.8,18
205,T,L1,7,7,3.4,12
206,T,L1,5.06,5.47,4.4,15
207,T,L1,5.17,4.67,6,14
208,T,L1,4.92,5.63,3.4,15
209,T,L1,4.83,4.83,5.4,10
210,T,L1,4.42,4.13,5,12
211,T,L1,4.53,4.7,4.6,13
212,T,L1,4.75,5.2,5.6,16
213,T,L1,5.03,4.8,5,15
214,T,L1,6.03,6.8,6.2,9
215,T,L1,4.94,4.4,4.2,15
216,T,L1,5.25,6.9,3,13
217,T,L1,5.5,6.6,3.8,13
218,T,L1,4.83,5.83,5,13
219,T,L1,5.36,6.07,5.2,15
220,T,L1,4.25,3.73,3.6,14
221,T,L1,5.61,6.43,2.6,11
222,T,L1,5.42,5.43,4.8,13
223,T,L1,5.25,5.33,4.8,11
224,T,L1,5.36,5,5.4,11
225,T,L1,4,4,4,8
226,T,L1,5.75,5.27,6,6
227,T,L1,5.22,6.13,4.6,12
